Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Mycobacterium leprae strain MRHRU-235-G chromosome, complete genome",Mycobacterium leprae,26371,26854,100%,0.0,100.00,3187112,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP029543.1?report=genbank&log$=nucltop&blast_rank=1&RID=V0G6801W016"",""CP029543.1"")"
Mycobacterium leprae strain TN complete genome; segment 1/10,Mycobacterium leprae,26312,26312,100%,0.0,99.92,344050,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AL583917.1?report=genbank&log$=nucltop&blast_rank=2&RID=V0G6801W016"",""AL583917.1"")"
"Mycobacterium leprae Br4923, complete genome sequence",Mycobacterium leprae Br4923,26308,26758,100%,0.0,99.92,3268071,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FM211192.1?report=genbank&log$=nucltop&blast_rank=3&RID=V0G6801W016"",""FM211192.1"")"
"Mycobacterium leprae Kyoto-2 DNA, complete genome",Mycobacterium leprae Kyoto-2,26306,26756,100%,0.0,99.91,3268122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP014567.1?report=genbank&log$=nucltop&blast_rank=4&RID=V0G6801W016"",""AP014567.1"")"
Mycobacterium leprae cosmid B1770,Mycobacterium leprae,24485,24485,93%,0.0,99.86,37821,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/Z70722.1?report=genbank&log$=nucltop&blast_rank=5&RID=V0G6801W016"",""Z70722.1"")"
"Mycobacterium haemophilum DSM 44634 strain ATCC 29548 chromosome, complete genome",Mycobacterium haemophilum DSM 44634,11810,11896,87%,0.0,83.91,4235765,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP011883.2?report=genbank&log$=nucltop&blast_rank=6&RID=V0G6801W016"",""CP011883.2"")"
"Mycobacterium lepromatosis strain FJ924 chromosome, complete genome",Mycobacterium lepromatosis,9889,13824,89%,0.0,87.16,3271694,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP083405.1?report=genbank&log$=nucltop&blast_rank=7&RID=V0G6801W016"",""CP083405.1"")"
"Mycobacterium lepromatosis strain NHDP-385 chromosome, complete genome",Mycobacterium lepromatosis,9889,13824,89%,0.0,87.17,3259657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP155806.1?report=genbank&log$=nucltop&blast_rank=8&RID=V0G6801W016"",""CP155806.1"")"
"Mycobacterium leprae cosmid L222 DNA sequence, 27 CDS features",Mycobacterium leprae,7269,7269,28%,0.0,99.90,40571,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/L39923.1?report=genbank&log$=nucltop&blast_rank=9&RID=V0G6801W016"",""L39923.1"")"
M.leprae DNA gyrase subunit A gene,Mycobacterium leprae,7042,7042,27%,0.0,99.92,3822,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/Z68206.1?report=genbank&log$=nucltop&blast_rank=10&RID=V0G6801W016"",""Z68206.1"")"
"Mycobacterium heidelbergense JCM 14842 DNA, nearly complete genome",Mycobacterium heidelbergense,3317,4579,52%,0.0,77.02,5050576,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP022615.1?report=genbank&log$=nucltop&blast_rank=11&RID=V0G6801W016"",""AP022615.1"")"
"Mycobacterium conspicuum JCM 14738 DNA, nearly complete genome",Mycobacterium conspicuum,3214,5705,75%,0.0,76.56,6237139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP022613.1?report=genbank&log$=nucltop&blast_rank=12&RID=V0G6801W016"",""AP022613.1"")"
"Mycobacterium kubicae strain NJH_MKUB1 chromosome, complete genome",Mycobacterium kubicae,3142,5152,67%,0.0,76.45,5345311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045081.1?report=genbank&log$=nucltop&blast_rank=13&RID=V0G6801W016"",""CP045081.1"")"
"Mycobacterium shinjukuense strain DSM 45663 genome assembly, chromosome: Mshi_45663",Mycobacterium shinjukuense,1748,4105,44%,0.0,78.20,4489120,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY970454.1?report=genbank&log$=nucltop&blast_rank=14&RID=V0G6801W016"",""OY970454.1"")"
"Mycobacterium shinjukuense MSJ-06 DNA, complete genome",Mycobacterium shinjukuense,1748,4105,44%,0.0,78.20,4486845,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP038766.1?report=genbank&log$=nucltop&blast_rank=15&RID=V0G6801W016"",""AP038766.1"")"
"Mycobacterium shinjukuense MSJ-16 DNA, complete genome",Mycobacterium shinjukuense,1748,4105,44%,0.0,78.20,4481845,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP038767.1?report=genbank&log$=nucltop&blast_rank=16&RID=V0G6801W016"",""AP038767.1"")"
"Mycobacterium shinjukuense JCM 14233 DNA, complete genome",Mycobacterium shinjukuense,1748,4105,44%,0.0,78.20,4504020,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP022575.1?report=genbank&log$=nucltop&blast_rank=17&RID=V0G6801W016"",""AP022575.1"")"
"Mycobacterium shinjukuense MSJ-04 DNA, complete genome",Mycobacterium shinjukuense,1748,4105,44%,0.0,78.20,4487105,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP038765.1?report=genbank&log$=nucltop&blast_rank=18&RID=V0G6801W016"",""AP038765.1"")"
"Mycobacterium shinjukuense MSJ-20 DNA, complete genome",Mycobacterium shinjukuense,1748,4105,44%,0.0,78.20,4491400,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP038768.1?report=genbank&log$=nucltop&blast_rank=19&RID=V0G6801W016"",""AP038768.1"")"
"Mycobacterium shinjukuense MSJ-01 DNA, complete genome",Mycobacterium shinjukuense,1748,4105,44%,0.0,78.20,4519236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP038764.1?report=genbank&log$=nucltop&blast_rank=20&RID=V0G6801W016"",""AP038764.1"")"
XXX,Mycobacterium riyadhense,1685,4625,48%,0.0,80.08,209821,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR589061.1?report=genbank&log$=nucltop&blast_rank=21&RID=V0G6801W016"",""LR589061.1"")"
XXX,Mycobacterium riyadhense,1685,4625,48%,0.0,80.08,209821,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR588981.1?report=genbank&log$=nucltop&blast_rank=22&RID=V0G6801W016"",""LR588981.1"")"
"Mycobacterium riyadhense strain DSM 45176 genome assembly, chromosome: Mriy_45176_",Mycobacterium riyadhense,1679,4603,48%,0.0,80.05,6155284,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY970456.1?report=genbank&log$=nucltop&blast_rank=23&RID=V0G6801W016"",""OY970456.1"")"
Mycobacterium riyadhense strain NTM chromosome,Mycobacterium riyadhense,1668,4620,48%,0.0,79.95,6772223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045092.1?report=genbank&log$=nucltop&blast_rank=24&RID=V0G6801W016"",""CP045092.1"")"
"MAG: uncultured Mycobacteriaceae bacterium isolate MFD06157-9B.bin.2.1716 genome assembly, chromosome: 1",uncultured Mycobacteriaceae bacterium,1640,3419,35%,0.0,78.24,5608107,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OZ375154.1?report=genbank&log$=nucltop&blast_rank=25&RID=V0G6801W016"",""OZ375154.1"")"
Mycobacterium kansasii strain FDAARGOS_1534 chromosome,Mycobacterium kansasii,1626,4049,39%,0.0,79.66,6441829,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP084364.1?report=genbank&log$=nucltop&blast_rank=26&RID=V0G6801W016"",""CP084364.1"")"
"Mycobacterium kansasii strain 5230.03 GyrA (gyrA) gene, complete cds",Mycobacterium kansasii,1626,1626,16%,0.0,79.66,3774,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY934281.1?report=genbank&log$=nucltop&blast_rank=27&RID=V0G6801W016"",""KY934281.1"")"
Mycobacterium kansasii strain 6MK chromosome,Mycobacterium kansasii,1626,4049,39%,0.0,79.74,6462452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019885.1?report=genbank&log$=nucltop&blast_rank=28&RID=V0G6801W016"",""CP019885.1"")"
XXX,Mycobacterium kansasii,1626,4049,39%,0.0,79.74,171227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR589505.1?report=genbank&log$=nucltop&blast_rank=29&RID=V0G6801W016"",""LR589505.1"")"
Mycobacterium kansasii strain FDAARGOS_1616 chromosome,Mycobacterium kansasii,1626,4049,39%,0.0,79.74,6470868,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP089231.1?report=genbank&log$=nucltop&blast_rank=30&RID=V0G6801W016"",""CP089231.1"")"
Mycobacterium kansasii strain 10MK chromosome,Mycobacterium kansasii,1626,4049,39%,0.0,79.66,6421364,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019886.1?report=genbank&log$=nucltop&blast_rank=31&RID=V0G6801W016"",""CP019886.1"")"
Mycobacterium kansasii ATCC 12478 chromosome,Mycobacterium kansasii ATCC 12478,1626,4049,39%,0.0,79.66,6432295,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP159924.1?report=genbank&log$=nucltop&blast_rank=32&RID=V0G6801W016"",""CP159924.1"")"
"Mycobacterium kansasii strain FDAARGOS_1614 chromosome, complete genome",Mycobacterium kansasii,1626,4049,39%,0.0,79.66,6435496,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP089218.1?report=genbank&log$=nucltop&blast_rank=33&RID=V0G6801W016"",""CP089218.1"")"
XXX,Mycobacterium kansasii,1626,4049,39%,0.0,79.74,171227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR589283.1?report=genbank&log$=nucltop&blast_rank=34&RID=V0G6801W016"",""LR589283.1"")"
Mycobacterium kansasii strain 1MK chromosome,Mycobacterium kansasii,1626,4049,39%,0.0,79.74,6421275,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019883.1?report=genbank&log$=nucltop&blast_rank=35&RID=V0G6801W016"",""CP019883.1"")"
Mycobacterium kansasii strain 9MK chromosome,Mycobacterium kansasii,1626,4049,39%,0.0,79.66,6463923,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019888.1?report=genbank&log$=nucltop&blast_rank=36&RID=V0G6801W016"",""CP019888.1"")"
"Mycobacterium kansasii ATCC 12478 GyrA (gyrA) gene, complete cds",Mycobacterium kansasii ATCC 12478,1626,1626,16%,0.0,79.66,3774,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY934280.1?report=genbank&log$=nucltop&blast_rank=37&RID=V0G6801W016"",""KY934280.1"")"
"Mycobacterium kansasii strain FDAARGOS_1615 chromosome, complete genome",Mycobacterium kansasii,1626,4049,39%,0.0,79.66,6436818,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP089216.1?report=genbank&log$=nucltop&blast_rank=38&RID=V0G6801W016"",""CP089216.1"")"
Mycobacterium kansasii strain Turkey-1 chromosome,Mycobacterium kansasii,1626,4049,39%,0.0,79.66,6432395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP159988.1?report=genbank&log$=nucltop&blast_rank=39&RID=V0G6801W016"",""CP159988.1"")"
Mycobacterium kansasii strain 4MK chromosome,Mycobacterium kansasii,1626,4049,39%,0.0,79.74,6440784,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019884.1?report=genbank&log$=nucltop&blast_rank=40&RID=V0G6801W016"",""CP019884.1"")"
Mycobacterium kansasii strain 11MK chromosome,Mycobacterium kansasii,1626,4049,39%,0.0,79.66,6434062,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019887.1?report=genbank&log$=nucltop&blast_rank=41&RID=V0G6801W016"",""CP019887.1"")"
"Mycobacterium kansasii ATCC 12478, complete genome",Mycobacterium kansasii ATCC 12478,1626,4049,39%,0.0,79.66,6432277,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP006835.1?report=genbank&log$=nucltop&blast_rank=42&RID=V0G6801W016"",""CP006835.1"")"
"Mycobacterium kansasii Kuro-I DNA, complete genome",Mycobacterium kansasii,1618,4034,39%,0.0,79.70,6649596,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP023343.1?report=genbank&log$=nucltop&blast_rank=43&RID=V0G6801W016"",""AP023343.1"")"
"Mycobacterium decipiens strain ATCC TSD-117 genome assembly, chromosome: Mdec_TSD-117",Mycobacterium decipiens,1591,4286,42%,0.0,80.42,5303299,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY970459.1?report=genbank&log$=nucltop&blast_rank=44&RID=V0G6801W016"",""OY970459.1"")"
